,fs,alpha,acurracy
0,f1,0.5,0.96
1,f2,0.5,0.72
2,f3,0.5,0.72
3,f4,0.5,0.88
4,f5,0.5,0.92
5,f6,0.5,0.88
6,f1,1.0,0.92
7,f2,1.0,0.76
8,f3,1.0,0.84
9,f4,1.0,0.92
10,f5,1.0,0.92
11,f6,1.0,0.92
12,f1,2.0,0.88
13,f2,2.0,0.88
14,f3,2.0,0.96
15,f4,2.0,0.68
16,f5,2.0,0.84
17,f6,2.0,0.84
18,f1,3.0,0.96
19,f2,3.0,0.92
20,f3,3.0,1.0
21,f4,3.0,1.0
22,f5,3.0,0.92
23,f6,3.0,1.0
