,fs,alpha,acurracy
0,f1,0.5,0.48
1,f2,0.5,0.48
2,f3,0.5,0.48
3,f4,0.5,0.48
4,f5,0.5,0.48
5,f6,0.5,0.48
6,f1,1.0,0.36
7,f2,1.0,0.32
8,f3,1.0,0.48
9,f4,1.0,0.36
10,f5,1.0,0.4
11,f6,1.0,0.4
12,f1,2.0,0.64
13,f2,2.0,0.6
14,f3,2.0,0.84
15,f4,2.0,0.64
16,f5,2.0,0.64
17,f6,2.0,0.64
18,f1,3.0,0.56
19,f2,3.0,0.52
20,f3,3.0,0.88
21,f4,3.0,0.52
22,f5,3.0,0.52
23,f6,3.0,0.52
